,Unnamed: 0,Type,Company,NewGrade,URL,RawText,bow
89,89,Fitch,R&F,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-guangzhou-r-f-subsidiary-to-b-removes-from-uco-on-rating-watch-negative-29-10-2021,,
90,90,Fitch,R&F,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-guangzhou-r-f-to-b-outlook-stable-02-07-2020,,
91,91,Moody,R&F,,https://www.moodys.com/research/Moodys-downgrades-Guangzhou-RF-to-Caa2-and-RF-HK-to--PR_460314,,
92,92,Moody,R&F,,https://www.moodys.com/research/Moodys-downgrades-Guangzhou-RF-to-B3-and-RF-HK-to--PR_456532,,
93,93,Moody,R&F,,https://www.moodys.com/research/Moodys-downgrades-Guangzhou-RF-to-B2-and-RF-HK-to--PR_453801,,
94,94,Moody,R&F,,https://www.moodys.com/research/Moodys-downgrades-Guangzhou-RF-to-B1-and-RF-HK-to--PR_425025,,
95,95,Fitch,Kaisa,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-kaisa-to-restricted-default-after-missing-payment-09-12-2021,,
96,96,Fitch,Kaisa,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-kaisa-to-c-from-ccc-on-missing-interest-payments-16-11-2021,,
97,97,Fitch,Kaisa,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-kaisa-to-ccc-09-11-2021,,
98,98,Fitch,Kaisa,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-kaisa-to-ccc-on-refinancing-risk-27-10-2021,,
99,99,Moody,Kaisa,,https://www.moodys.com/research/Moodys-downgrades-Kaisas-ratings-to-CaC-outlook-negative--PR_457983,,
100,100,Moody,Kaisa,,https://www.moodys.com/research/Moodys-downgrades-Kaisa-to-Caa1Caa2-outlook-negative--PR_457238,,
101,101,Moody,Kaisa,,https://www.moodys.com/research/Moodys-downgrades-Kaisa-to-B2B3-places-ratings-on-review-for--PR_456528,,
102,102,Moody,Kaisa,,https://www.moodys.com/research/Moodys-downgrades-Kaisa-to-Caa3-following-missed-debt-payment-outlook--PR_315909,,
103,103,Moody,Kaisa,,https://www.moodys.com/research/Moodys-downgrades-Kaisa-to-B3-ratings-review-continues--PR_315842,,
104,104,Moody,Kaisa,,https://www.moodys.com/research/Moodys-downgrades-Kaisa-to-B1-ratings-under-review-for-downgrade--PR_315701,,
105,105,Fitch,Aoyuan,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-china-aoyuan-group-to-restricted-default-21-01-2022,,
106,106,Fitch,Aoyuan,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-china-aoyuan-group-to-c-07-12-2021,,
107,107,Fitch,Aoyuan,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-china-aoyuan-group-to-ccc-due-to-lower-likelihood-of-bond-refinancing-24-11-2021,,
108,108,Fitch,Aoyuan,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-china-aoyuan-group-to-b-on-rating-watch-negative-19-11-2021,,
109,109,Fitch,Aoyuan,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-china-aoyuan-group-to-b-removes-from-uco-outlook-negative-03-11-2021,,
110,110,Moody,Aoyuan,,https://www.moodys.com/research/Moodys-downgrades-China-Aoyuans-ratings-to-Caa2Caa3-outlook-negative--PR_458539,,
111,111,Moody,Aoyuan,,https://www.moodys.com/research/Moodys-downgrades-China-Aoyuans-ratings-to-B2B3-ratings-remain-on--PR_457639,,
112,112,Fitch,Fantasia,Withdraw,https://www.fitchratings.com/research/corporate-finance/fitch-affirms-fantasia-withdraws-ratings-01-11-2021,,
113,113,Fitch,Fantasia,RD,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-fantasia-to-restricted-default-after-missing-payment-05-10-2021,,
114,114,Fitch,Fantasia,B+,https://www.fitchratings.com/research/corporate-finance/fitch-revises-outlook-on-fantasia-to-negative-affirms-at-b-06-07-2021,,
115,115,Fitch,Fantasia,B,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-fantasia-to-b-outlook-negative-16-09-2021,,
116,116,Fitch,Fantasia,CCC-,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-fantasia-to-ccc-on-repayment-risk-weak-transparency-04-10-2021,,
117,117,Moody,Fantasia,Withdraw,https://www.moodys.com/research/Moodys-withdraws-Fantasias-Rating-Action--PR_459897,,
118,118,Moody,Fantasia,Ca,https://www.moodys.com/research/Moodys-downgrades-Fantasias-ratings-to-CaC-outlook-negative--PR_455835,,
119,119,Moody,Fantasia,B3,https://www.moodys.com/research/Moodys-downgrades-Fantasias-Rating-Action--PR_455835,,
120,120,Moody,Fantasia,B2,https://www.moodys.com/research/Moodys-revises-Fantasias-Rating-Action--PR_450664,,
121,121,Fitch,Redco,CC,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-redco-to-cc-withdraws-ratings-27-09-2022,,
122,122,Fitch,Redco,C,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-redco-to-c-on-distressed-debt-exchange-16-03-2022,,
123,123,Fitch,Redco,CCC-,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-redco-to-ccc-on-limited-liquidity-07-03-2022,,
124,124,Fitch,Hopson ,B+,https://www.fitchratings.com/research/corporate-finance/fitch-affirms-hopson-development-at-b-outlook-stable-16-02-2023,,
125,125,Moody,Hopson ,Withdraw,https://www.moodys.com/research/Moodys-withdraws-Hopsons-Rating-Action--PR_461457,,
126,126,Moody,Hopson ,B2,https://www.moodys.com/research/Moodys-affirms-Hopsons-B2-Rating-Action--PR_456429,,
127,127,Moody,Hopson ,B2,https://www.moodys.com/research/Moodys-affirms-Hopsons-B2-CFR-Rating-Action--PR_437008,,
128,128,Fitch,Central China,C,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-central-china-to-c-after-missing-interest-payments-10-11-2022,,
129,129,Fitch,Central China,B,https://www.fitchratings.com/research/corporate-finance/fitch-affirms-central-china-real-estate-at-b-outlook-negative-off-rating-watch-11-08-2022,,
130,130,Fitch,Central China,B,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-central-china-real-estate-to-b-on-rating-watch-negative-13-07-2022,,
131,131,Fitch,Central China,B+,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-central-china-real-estate-to-b-outlook-negative-21-10-2021,,
132,132,Moody,Central China,Caa2,https://www.moodys.com/research/Moodys-downgrades-Central-Rating-Action--PR_472178,,
133,133,Moody,Central China,B3,https://www.moodys.com/research/Moodys-downgrades-Central-Rating-Action--PR_464667,,
134,134,Moody,Central China,B1,https://www.moodys.com/research/Moodys-downgrades-Central-Rating-Action--PR_456596,,
135,135,Moody,Central China,Ba3,https://www.moodys.com/research/Moodys-revises-Central-Chinas-Rating-Action--PR_453618,,
136,136,Fitch,Sinic,RD,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-sinic-to-restricted-default-after-missed-payments-withdraws-ratings-21-10-2021,,
137,137,Fitch,Sinic,C,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-sinic-idr-to-c-04-10-2021,,
138,138,Fitch,Sinic,CCC,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-sinic-idr-to-ccc-lower-likelihood-of-bond-refinancing-22-09-2021,,
139,139,Fitch,Sinic,B+,https://www.fitchratings.com/research/corporate-finance/fitch-revises-outlook-on-sinic-to-negative-affirms-at-b-15-09-2021,,
140,140,Moody,Sinic,Withdraw,https://www.moodys.com/research/Moodys-withdraws-Sinics-rating-Rating-Action--PR_456599,,
141,141,Moody,Sinic,Ca,https://www.moodys.com/research/Moodys-downgrades-Sinic-to-Ca-Rating-Action--PR_456253,,
142,142,Moody,Sinic,Caa2,https://www.moodys.com/research/Moodys-downgrades-Sinic-to-Rating-Action--PR_454931,,
143,143,Fitch,Jiayuan,Withdraw,https://www.fitchratings.com/research/corporate-finance/fitch-withdraws-jiayuan-ratings-20-07-2022,,
144,144,Fitch,Jiayuan,CC,https://www.fitchratings.com/research/corporate-finance/fitch-upgrades-jiayuan-to-cc-after-interest-paid-within-grace-period-06-06-2022,,
145,145,Fitch,Jiayuan,C,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-jiayuan-to-c-on-missed-interest-payment-19-05-2022,,
146,146,Fitch,Jiayuan,B,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-jiayuan-to-b-outlook-negative-15-03-2022,,
147,147,Moody,Jiayuan,Ca,https://www.moodys.com/research/Moodys-downgrades-Jiayuans-Rating-Action--PR_469036,,
148,148,Moody,Jiayuan,Caa1,https://www.moodys.com/research/Moodys-downgrades-Jiayuans-Rating-Action--PR_466259,,
149,149,Moody,Jiayuan,B3,https://www.moodys.com/research/Moodys-downgrades-Jiayuans-Rating-Action--PR_465855,,
150,150,Moody,Jiayuan,B2,https://www.moodys.com/research/Moodys-affirms-Jiayuans-B2B3-Rating-Action--PR_456538,,
151,151,Moody,Road King,B1,https://www.moodys.com/research/Moodys-downgrades-Road-Kings-Rating-Action--PR_474501,,
152,152,Moody,Road King,Ba3,https://www.moodys.com/research/Moodys-affirms-Road-Kings-Ba3-Rating-Action--PR_464991,,
